time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2010-07-28 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-28 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-28 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-28 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-28 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.48567700386047363,1178,2.8606375527381895
2010-07-28 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.743333101272583,176,3.294133129119873
2010-07-28 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,fill,1,gtc,0.0,1,stock,48.310001373291016,12,2.898600082397461
2010-07-28 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,fill,1,gtc,0.0,1,stock,10.282500267028809,194,9.974025259017944
2010-07-28 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,fill,1,gtc,0.0,1,stock,1.9736109972000122,599,5.910964936614037
2010-07-28 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,fill,1,gtc,0.0,1,stock,36.400001525878906,4,0.7280000305175781
2010-08-03 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-03 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-03 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-03 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-03 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-03 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-03 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,fill,1,gtc,0.0,1,stock,38.29999923706055,4,0.765999984741211
2010-08-03 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.49281299114227295,916,2.25708349943161
2010-08-03 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,50.38999938964844,3,0.7558499908447266
2010-08-03 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.8570830821990967,8,0.15428332328796387
2010-08-03 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,10.555000305175781,39,2.0582250595092773
2010-08-03 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,2.0333330631256104,115,1.169166511297226
2010-08-09 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-09 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-09 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-09 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-09 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-09 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-09 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.5042709708213806,697,1.7573843333125114
2010-08-09 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,52.0099983215332,5,1.3002499580383302
2010-08-09 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,2.055694103240967,170,1.747339987754822
2010-08-09 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,fill,1,gtc,0.0,1,stock,39.25,10,1.9625000000000001
2010-08-09 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,10.707500457763672,18,0.9636750411987305
2010-08-09 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.9120829105377197,43,0.8410978257656098
2010-08-13 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-13 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-13 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-13 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-13 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-13 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-13 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.5112500190734863,109,1.91363126039505
2010-08-13 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.8083330392837524,692,6.256832315921784
2010-08-13 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.4381769895553589,3071,6.728207674622536
2010-08-13 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,52.86000061035156,12,3.171600036621094
2010-08-13 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,fill,1,gtc,0.0,1,stock,35.587501525878906,16,2.8470001220703125
2010-08-13 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,11.3125,252,14.25375
2010-08-19 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-19 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-19 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-19 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-19 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-19 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-19 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.44963499903678894,196,0.4406422990560532
2010-08-19 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,12.404999732971191,93,5.768324875831604
2010-08-19 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,fill,1,gtc,0.0,1,stock,54.470001220703125,8,2.178800048828125
2010-08-19 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,fill,1,gtc,0.0,1,stock,35.76250076293945,8,1.4305000305175781
2010-08-19 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.5941669940948486,38,0.6828917288780213
2010-08-19 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.8543059825897217,33,0.30596048712730406
2010-08-25 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-25 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-25 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-25 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-25 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-25 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-25 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,54.91999816894531,7,1.922199935913086
2010-08-25 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.3934899866580963,2026,3.986053564846516
2010-08-25 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,fill,1,gtc,0.0,1,stock,32.837501525878906,24,3.9405001831054687
2010-08-25 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.6401389837265015,664,5.445261425971985
2010-08-25 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,13.90250015258789,214,14.875675163269044
2010-08-25 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.2125000953674316,142,2.2808750677108764
2010-08-31 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-31 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-31 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-31 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-08-31 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-31 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-08-31 09:30:00-04:00,DiversifiedLeverage,UGL,sell,market,fill,1,gtc,0.0,1,stock,55.470001220703125,6,1.6641000366210938
2010-08-31 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,fill,1,gtc,0.0,1,stock,33.025001525878906,8,1.3210000610351562
2010-08-31 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,fill,1,gtc,0.0,1,stock,13.65999984741211,64,4.371199951171875
2010-08-31 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,fill,1,gtc,0.0,1,stock,3.197499990463257,25,0.3996874988079071
2010-08-31 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,fill,1,gtc,0.0,1,stock,1.6348609924316406,158,1.2915401840209961
2010-08-31 09:30:00-04:00,DiversifiedLeverage,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.39375001192092896,827,1.6281562992930412
2010-09-07 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-09-07 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2010-09-07 09:30:00-04:00,DiversifiedLeverage,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
2010-09-07 09:30:00-04:00,DiversifiedLeverage,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-09-07 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-09-07 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
